sys_time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,movement_events
1763026866.368283,8,14,44,-5541,-2124,-5534,0
1763026866.368283,8,1,59,-5531,-2119,-5535,0
1763026866.368283,7,-23,67,-5522,-2109,-5536,0
1763026866.368283,4,-32,61,-5558,-2116,-5566,0
1763026866.368283,-1,-24,48,-5574,-2124,-5574,0
1763026866.41338,-10,-1,42,-5553,-2129,-5548,0
1763026866.41338,-20,44,57,-5550,-2139,-5539,0
1763026866.41338,-23,68,68,-5523,-2126,-5549,0
1763026866.41338,-17,72,58,-5503,-2114,-5532,0
1763026866.41338,-19,69,41,-5496,-2102,-5522,0
1763026866.457579,-21,51,31,-5498,-2114,-5536,0
1763026866.457579,-23,27,31,-5516,-2120,-5547,0
1763026866.457579,-20,15,34,-5506,-2136,-5542,0
1763026866.457579,-18,22,34,-5506,-2147,-5517,0
1763026866.457579,-13,25,25,-5504,-2142,-5503,0
1763026866.503278,-10,14,10,-5517,-2133,-5516,0
1763026866.503278,-9,6,-3,-5536,-2111,-5519,0
1763026866.503278,-1,0,-2,-5563,-2104,-5538,0
1763026866.503278,-5,-8,14,-5589,-2095,-5550,0
1763026866.503278,-16,16,32,-5594,-2105,-5597,0
1763026866.54741,-16,39,33,-5588,-2110,-5597,0
1763026866.54741,-5,97,33,-5537,-2109,-5501,0
1763026866.54741,-20,110,39,-5511,-2145,-5515,0
1763026866.54741,-24,49,40,-5519,-2147,-5553,0
1763026866.54741,-18,1,29,-5529,-2133,-5552,0
1763026866.54941,-24,12,31,-5520,-2126,-5537,0
1763026866.54941,-22,28,27,-5516,-2107,-5532,0
1763026866.54941,-17,31,19,-5510,-2095,-5537,0
1763026866.54941,-17,5,18,-5493,-2098,-5525,0
1763026866.54941,-22,-19,17,-5501,-2090,-5537,0
1763026866.592955,-11,-28,16,-5523,-2092,-5548,0
1763026866.592955,-1,-19,16,-5550,-2104,-5538,0
1763026866.592955,-8,-16,21,-5546,-2105,-5515,0
1763026866.592955,-8,-6,19,-5567,-2107,-5543,0
1763026866.592955,-8,3,12,-5573,-2120,-5550,0
1763026866.637848,-13,42,4,-5578,-2132,-5546,0
1763026866.637848,-19,83,8,-5567,-2133,-5545,0
1763026866.637848,-24,94,16,-5543,-2132,-5537,0
1763026866.637848,-28,83,20,-5535,-2124,-5541,0
1763026866.637848,-37,57,25,-5524,-2121,-5557,0
1763026866.681957,-37,34,24,-5529,-2122,-5587,0
1763026866.681957,-35,30,19,-5502,-2095,-5540,0
1763026866.681957,-26,51,28,-5487,-2104,-5523,0
1763026866.681957,-31,30,33,-5503,-2114,-5556,0
1763026866.681957,-18,-19,23,-5529,-2118,-5551,0
1763026866.728293,-12,-37,20,-5550,-2111,-5541,0
1763026866.728293,-20,-19,29,-5563,-2112,-5528,0
1763026866.728293,-21,13,41,-5565,-2116,-5528,0
1763026866.728293,-15,42,45,-5563,-2105,-5529,0
1763026866.728293,-18,42,41,-5550,-2099,-5523,0
1763026866.772743,-21,36,33,-5542,-2092,-5537,0
1763026866.772743,-18,34,32,-5543,-2099,-5523,0
1763026866.772743,-22,24,35,-5534,-2108,-5518,0
1763026866.772743,-22,29,34,-5520,-2116,-5535,0
1763026866.772743,-14,26,29,-5523,-2115,-5538,0
1763026866.817586,-12,22,23,-5527,-2132,-5541,0
1763026866.817586,-10,14,29,-5513,-2110,-5524,0
1763026866.817586,-5,-8,39,-5507,-2112,-5540,0
1763026866.817586,1,-23,38,-5514,-2101,-5536,0
1763026866.817586,7,-22,28,-5508,-2110,-5519,0
1763026866.863439,11,-11,21,-5511,-2123,-5518,0
1763026866.863439,13,-14,8,-5515,-2131,-5533,0
1763026866.863439,10,-16,-2,-5536,-2134,-5556,0
1763026866.863439,10,-23,-2,-5572,-2133,-5567,0
1763026866.863439,1,-13,8,-5584,-2136,-5572,0
1763026866.908306,-8,2,24,-5598,-2144,-5603,0
1763026866.908306,-29,20,32,-5605,-2147,-5642,0
1763026866.908306,-35,77,42,-5565,-2113,-5547,0
1763026866.908306,-41,144,63,-5540,-2105,-5521,0
1763026866.908306,-49,129,72,-5530,-2089,-5555,0
1763026866.953352,-52,80,54,-5528,-2073,-5548,0
1763026866.953352,-62,62,36,-5510,-2060,-5527,0
1763026866.953352,-65,69,23,-5513,-2056,-5526,0
1763026866.953352,-46,74,8,-5499,-2051,-5502,0
1763026866.953352,-32,66,3,-5480,-2072,-5487,0
1763026867.086266,-11,37,-5,-5470,-2100,-5488,0
1763026867.086266,9,2,-19,-5491,-2131,-5497,0
1763026867.086266,19,-17,-29,-5507,-2139,-5498,0
1763026867.086266,34,-18,-30,-5517,-2149,-5509,0
1763026867.086266,39,-10,-20,-5528,-2145,-5523,0
1763026867.088852,50,11,-18,-5528,-2133,-5543,0
1763026867.088852,49,25,-20,-5530,-2139,-5554,0
1763026867.088852,45,25,-12,-5525,-2130,-5570,0
1763026867.088852,36,1,-2,-5510,-2131,-5567,0
1763026867.088852,30,-16,4,-5506,-2124,-5579,0
1763026867.13192,21,-22,1,-5512,-2132,-5592,0
1763026867.13192,19,-22,0,-5517,-2129,-5580,0
1763026867.13192,10,-21,0,-5523,-2131,-5568,0
1763026867.13192,1,-26,2,-5528,-2110,-5562,0
1763026867.13192,-2,-37,-2,-5531,-2106,-5539,0
1763026867.134476,-6,-41,-13,-5548,-2089,-5549,0
1763026867.134476,-10,-30,-21,-5573,-2093,-5546,0
1763026867.134476,-13,-12,-23,-5578,-2096,-5531,0
1763026867.134476,-11,2,-14,-5583,-2101,-5542,0
1763026867.134476,-20,19,-8,-5566,-2128,-5559,0
1763026867.177772,-24,39,-5,-5560,-2140,-5581,0
1763026867.177772,-26,40,-3,-5544,-2123,-5564,0
1763026867.177772,-10,78,-3,-5502,-2114,-5498,0
1763026867.177772,-17,76,1,-5489,-2130,-5532,0
1763026867.177772,-10,9,-5,-5494,-2126,-5551,0
1763026867.178921,-1,-33,-21,-5504,-2140,-5535,0
1763026867.178921,-5,-35,-20,-5507,-2127,-5502,0
1763026867.178921,-9,-39,-16,-5527,-2129,-5515,0
1763026867.178921,0,-51,-25,-5540,-2118,-5531,0
1763026867.178921,-1,-61,-33,-5557,-2110,-5516,0
1763026867.22271,2,-53,-30,-5547,-2111,-5518,0
1763026867.22271,9,-39,-23,-5566,-2121,-5536,0
1763026867.22271,15,-22,-8,-5569,-2141,-5540,0
1763026867.22271,21,-4,5,-5558,-2149,-5521,0
1763026867.22271,20,13,10,-5529,-2152,-5517,0
1763026867.268036,21,14,5,-5525,-2152,-5534,0
1763026867.268036,25,9,-2,-5533,-2152,-5546,0
1763026867.268036,13,3,-6,-5533,-2149,-5538,0
1763026867.268036,10,3,-4,-5522,-2135,-5549,0
1763026867.268036,12,-4,1,-5527,-2127,-5552,0
1763026867.312945,4,-13,4,-5528,-2119,-5545,0
1763026867.312945,5,-26,5,-5514,-2116,-5540,0
1763026867.312945,6,-35,-3,-5515,-2106,-5520,0
1763026867.312945,11,-45,-7,-5528,-2119,-5513,0
1763026867.312945,15,-45,-16,-5542,-2147,-5539,0
1763026867.357765,21,-29,-28,-5540,-2161,-5520,0
1763026867.357765,21,-2,-27,-5525,-2156,-5507,0
1763026867.357765,26,-8,-24,-5511,-2134,-5506,0
1763026867.357765,32,-33,-29,-5513,-2132,-5513,0
1763026867.357765,27,-72,-26,-5540,-2136,-5534,0
1763026867.402596,12,-102,-19,-5574,-2158,-5547,0
1763026867.402596,2,-102,-13,-5599,-2162,-5575,0
1763026867.402596,-15,-68,-4,-5615,-2148,-5578,0
1763026867.402596,-4,9,4,-5584,-2122,-5507,0
1763026867.402596,-16,58,13,-5568,-2133,-5519,0
1763026867.493329,-27,13,18,-5578,-2129,-5542,0
1763026867.493329,-23,-20,14,-5592,-2140,-5525,0
1763026867.493329,-31,7,22,-5582,-2134,-5500,0
1763026867.493329,-36,48,21,-5555,-2132,-5481,0
1763026867.493329,-31,53,10,-5524,-2142,-5495,0
1763026867.495329,-25,34,-3,-5521,-2144,-5520,0
1763026867.495329,-16,18,-10,-5513,-2156,-5508,0
